date,actual_adjustment
2026-05-08,320
2026-04-21,-555
2026-04-07,420
2026-03-23,1160
2026-03-09,695
2026-02-24,175
2026-02-03,205
2026-01-20,85
2026-01-06,0
2025-12-22,-170
2025-12-08,-55
2025-11-24,-70
2025-11-10,125
2025-10-27,-265
2025-10-13,-75
2025-09-23,0
2025-09-09,0
2025-08-26,-180
2025-08-12,0
2025-07-29,0
2025-07-15,-130
2025-07-01,235
2025-06-17,260
2025-06-03,65
2025-05-19,-230
2025-04-30,0
2025-04-17,-480
2025-04-02,230
2025-03-19,-280
2025-03-05,-135
2025-02-19,-170
2025-02-06,0
2025-01-16,340
2025-01-02,70
2023-01-17,-205
2023-02-03,210
2023-02-17,0
2023-03-03,0
2023-03-17,-100
2023-03-31,-335
2023-04-17,550
2023-04-28,-160
2023-05-16,-380
2023-05-30,100
2023-06-13,-55
2023-06-28,70
2023-07-12,155
2023-07-26,275
2023-08-09,240
2023-08-23,55
2023-09-06,0
2023-09-20,385
2023-10-10,-85
2023-10-24,-70
2023-11-07,-140
2023-11-21,-340
2023-12-05,-55
2023-12-19,-415
2024-01-17,-50
2024-01-31,200
2024-02-19,0
2024-03-04,125
2024-03-18,0
2024-04-01,200
2024-04-16,200
2024-04-29,-70
2024-05-15,-235
2024-05-29,0
2024-06-13,-190
2024-06-27,210
2024-07-11,110
2024-07-25,-145
2024-08-08,-305
2024-08-22,0
2024-09-05,-100
2024-09-20,-365
2024-10-10,140
2024-10-23,90
2024-11-06,-145
2024-11-20,0
2024-12-04,0
2024-12-18,0
