date,price,open,high,low,volume,change_percent,ma10,oil_change,actual_adjustment
2023-01-17,85.92,84.2,86.82,84.04,238.30K,1.73%,81.721,0.0046963941036894,-205
2023-02-03,79.94,82.27,84.2,79.62,330.32K,-2.71%,84.89099999999999,-0.008977352323138,210
2023-02-17,83.0,84.6,84.87,81.8,303.66K,-2.51%,84.637,0.0036285588929338,0
2023-03-03,85.83,84.61,86.0,82.36,312.90K,1.27%,83.432,0.0034035286052749,0
2023-03-17,72.97,74.7,75.92,71.4,427.49K,-2.32%,79.60799999999999,-0.0158973471456476,-100
2023-03-31,79.77,79.19,79.8,78.54,6.85K,0.63%,77.07900000000001,0.0089006400607338,-335
2023-04-17,84.76,86.43,86.52,84.34,261.81K,-1.80%,85.426,0.0058756343683397,550
2023-04-28,79.54,78.25,79.61,77.69,13.30K,1.49%,81.451,-0.0082432300798753,-160
2023-05-16,74.91,75.55,75.95,74.5,216.20K,-0.43%,75.02799999999999,-0.0005461641956068,-380
2023-05-30,73.54,76.98,77.57,73.2,112.18K,-4.58%,76.341,-0.0017913648369465,100
2023-06-13,74.29,72.11,74.66,71.94,321.15K,3.41%,74.99000000000001,0.0010011346192353,-55
2023-06-28,74.03,72.62,74.2,71.57,91.45K,2.45%,74.985,0.0011081146030813,70
2023-07-12,80.11,79.32,80.55,79.21,362.33K,0.89%,76.898,0.0079695897234237,155
2023-07-26,82.92,83.19,83.85,82.58,173.82K,-0.86%,80.88300000000001,0.0034862658494827,275
2023-08-09,87.55,86.0,87.65,85.91,388.30K,1.60%,85.33399999999999,0.0054553381013535,240
2023-08-23,83.21,83.99,84.26,81.94,361.61K,-0.98%,84.838,-0.0050895956468712,55
2023-09-06,90.6,90.12,91.1,89.25,282.91K,0.62%,86.86600000000001,0.0085803522704845,0
2023-09-20,93.53,94.49,94.72,92.76,330.59K,-0.86%,92.508,0.0031773572629181,385
2023-10-10,87.65,88.17,88.49,86.91,352.11K,-0.57%,89.913,-0.0069689874536138,-85
2023-10-24,88.07,90.47,90.68,87.35,304.12K,-1.96%,89.62,0.0004688651231328,-70
2023-11-07,81.61,85.15,85.19,81.4,402.76K,-4.19%,86.656,-0.0073996013837024,-140
2023-11-21,82.45,82.13,82.54,81.43,238.51K,0.16%,80.995,0.0010381777508621,-340
2023-12-05,77.2,78.1,79.09,77.0,352.89K,-1.06%,80.566,-0.0064742079885559,-55
2023-12-19,79.23,78.06,79.67,77.41,214.68K,1.64%,75.806,0.0026850786344456,-415
2024-01-17,77.88,77.77,78.19,76.5,355.40K,-0.52%,77.688,-0.0004760373110324,-50
2024-01-31,81.71,82.94,82.94,81.59,14.38K,-1.40%,81.02700000000002,0.0047492683894649,200
2024-02-19,83.56,83.28,83.6,82.55,185.06K,0.11%,81.788,0.0068569880956776,0
2024-03-04,82.8,83.5,84.08,82.57,369.83K,-0.90%,83.049,-0.0009142857142856,125
2024-03-18,86.89,85.32,87.18,85.25,390.07K,1.82%,83.585,0.0049172838318745,0
2024-04-01,87.42,86.98,87.98,86.4,274.96K,-0.07%,86.542,0.0024092478050363,200
2024-04-16,90.02,90.43,90.84,89.41,323.52K,-0.09%,90.176,0.0012213265827281,200
