dir,cum,econ,best_action
-2,-500,0,-200
-2,-500,1,-200
-2,-400,0,-200
-2,-400,1,-200
-2,-300,0,-200
-2,-300,1,-200
-2,-200,0,-200
-2,-200,1,-200
-2,-100,0,-200
-2,-100,1,-200
-2,-50,0,-200
-2,-50,1,-200
-2,0,0,-200
-2,0,1,-200
-2,50,0,-200
-2,50,1,-200
-2,100,0,-200
-2,100,1,-200
-2,200,0,-200
-2,200,1,-200
-2,300,0,-200
-2,300,1,-200
-2,400,0,-200
-2,400,1,-200
-2,500,0,-200
-2,500,1,-200
-1,-500,0,-50
-1,-500,1,-50
-1,-400,0,-50
-1,-400,1,-50
-1,-300,0,-50
-1,-300,1,-50
-1,-200,0,-50
-1,-200,1,-50
-1,-100,0,-50
-1,-100,1,-50
-1,-50,0,-50
-1,-50,1,-50
-1,0,0,-50
-1,0,1,-50
-1,50,0,-50
-1,50,1,-50
-1,100,0,-50
-1,100,1,-50
-1,200,0,-50
-1,200,1,-50
-1,300,0,-50
-1,300,1,-50
-1,400,0,-50
-1,400,1,-50
-1,500,0,-50
-1,500,1,-50
0,-500,0,0
0,-500,1,0
0,-400,0,0
0,-400,1,0
0,-300,0,0
0,-300,1,0
0,-200,0,0
0,-200,1,0
0,-100,0,0
0,-100,1,0
0,-50,0,0
0,-50,1,0
0,0,0,0
0,0,1,0
0,50,0,0
0,50,1,0
0,100,0,0
0,100,1,0
0,200,0,0
0,200,1,0
0,300,0,0
0,300,1,0
0,400,0,0
0,400,1,0
0,500,0,0
0,500,1,0
1,-500,0,100
1,-500,1,100
1,-400,0,100
1,-400,1,100
1,-300,0,100
1,-300,1,100
1,-200,0,100
1,-200,1,100
1,-100,0,100
1,-100,1,100
1,-50,0,100
1,-50,1,100
1,0,0,100
1,0,1,100
1,50,0,100
1,50,1,100
1,100,0,100
1,100,1,100
1,200,0,100
1,200,1,100
1,300,0,100
1,300,1,100
1,400,0,100
1,400,1,100
1,500,0,100
1,500,1,100
2,-500,0,300
2,-500,1,300
2,-400,0,300
2,-400,1,300
2,-300,0,300
2,-300,1,300
2,-200,0,300
2,-200,1,300
2,-100,0,300
2,-100,1,300
2,-50,0,300
2,-50,1,300
2,0,0,300
2,0,1,300
2,50,0,300
2,50,1,300
2,100,0,300
2,100,1,300
2,200,0,300
2,200,1,300
2,300,0,300
2,300,1,300
2,400,0,300
2,400,1,300
2,500,0,300
2,500,1,300
