state,value
"(-2, -500, 0)",-0.44618215980873127
"(-2, -500, 1)",-0.4471223673795993
"(-2, -400, 0)",-0.44618215980873127
"(-2, -400, 1)",-0.4471223673795993
"(-2, -300, 0)",-0.44618215980873127
"(-2, -300, 1)",-0.4471223673795993
"(-2, -200, 0)",-0.44618215980873127
"(-2, -200, 1)",-0.4471223673795993
"(-2, -100, 0)",-0.44618215980873127
"(-2, -100, 1)",-0.4471223673795993
"(-2, -50, 0)",-0.44618215980873127
"(-2, -50, 1)",-0.4471223673795993
"(-2, 0, 0)",-0.44618215980873127
"(-2, 0, 1)",-0.4471223673795993
"(-2, 50, 0)",-0.44618215980873127
"(-2, 50, 1)",-0.4471223673795993
"(-2, 100, 0)",-0.44618215980873127
"(-2, 100, 1)",-0.4471223673795993
"(-2, 200, 0)",-0.44618215980873127
"(-2, 200, 1)",-0.4471223673795993
"(-2, 300, 0)",-0.44618215980873127
"(-2, 300, 1)",-0.4471223673795993
"(-2, 400, 0)",-0.44618215980873127
"(-2, 400, 1)",-0.4471223673795993
"(-2, 500, 0)",-0.44618215980873127
"(-2, 500, 1)",-0.4471223673795993
"(-1, -500, 0)",-0.3635705724421639
"(-1, -500, 1)",-0.3644734792106336
"(-1, -400, 0)",-0.3635705724421639
"(-1, -400, 1)",-0.3644734792106336
"(-1, -300, 0)",-0.3635705724421639
"(-1, -300, 1)",-0.3644734792106336
"(-1, -200, 0)",-0.3635705724421639
"(-1, -200, 1)",-0.3644734792106336
"(-1, -100, 0)",-0.3635705724421639
"(-1, -100, 1)",-0.3644734792106336
"(-1, -50, 0)",-0.3635705724421639
"(-1, -50, 1)",-0.3644734792106336
"(-1, 0, 0)",-0.3635705724421639
"(-1, 0, 1)",-0.3644734792106336
"(-1, 50, 0)",-0.3635705724421639
"(-1, 50, 1)",-0.3644734792106336
"(-1, 100, 0)",-0.3635705724421639
"(-1, 100, 1)",-0.3644734792106336
"(-1, 200, 0)",-0.3635705724421639
"(-1, 200, 1)",-0.3644734792106336
"(-1, 300, 0)",-0.3635705724421639
"(-1, 300, 1)",-0.3644734792106336
"(-1, 400, 0)",-0.3635705724421639
"(-1, 400, 1)",-0.3644734792106336
"(-1, 500, 0)",-0.3635705724421639
"(-1, 500, 1)",-0.3644734792106336
"(0, -500, 0)",-0.34176451142902275
"(0, -500, 1)",-0.3426767986500324
"(0, -400, 0)",-0.34176451142902275
"(0, -400, 1)",-0.3426767986500324
"(0, -300, 0)",-0.34176451142902275
"(0, -300, 1)",-0.3426767986500324
"(0, -200, 0)",-0.34176451142902275
"(0, -200, 1)",-0.3426767986500324
"(0, -100, 0)",-0.34176451142902275
"(0, -100, 1)",-0.3426767986500324
"(0, -50, 0)",-0.34176451142902275
"(0, -50, 1)",-0.3426767986500324
"(0, 0, 0)",-0.34176451142902275
"(0, 0, 1)",-0.3426767986500324
"(0, 50, 0)",-0.34176451142902275
"(0, 50, 1)",-0.3426767986500324
"(0, 100, 0)",-0.34176451142902275
"(0, 100, 1)",-0.3426767986500324
"(0, 200, 0)",-0.34176451142902275
"(0, 200, 1)",-0.3426767986500324
"(0, 300, 0)",-0.34176451142902275
"(0, 300, 1)",-0.3426767986500324
"(0, 400, 0)",-0.34176451142902275
"(0, 400, 1)",-0.3426767986500324
"(0, 500, 0)",-0.34176451142902275
"(0, 500, 1)",-0.3426767986500324
"(1, -500, 0)",-0.38014289743906493
"(1, -500, 1)",-0.38123185802679016
"(1, -400, 0)",-0.38014289743906493
"(1, -400, 1)",-0.38123185802679016
"(1, -300, 0)",-0.38014289743906493
"(1, -300, 1)",-0.38123185802679016
"(1, -200, 0)",-0.38014289743906493
"(1, -200, 1)",-0.38123185802679016
"(1, -100, 0)",-0.38014289743906493
"(1, -100, 1)",-0.38123185802679016
"(1, -50, 0)",-0.38014289743906493
"(1, -50, 1)",-0.38123185802679016
"(1, 0, 0)",-0.38014289743906493
"(1, 0, 1)",-0.38123185802679016
"(1, 50, 0)",-0.38014289743906493
"(1, 50, 1)",-0.38123185802679016
"(1, 100, 0)",-0.38014289743906493
"(1, 100, 1)",-0.38123185802679016
"(1, 200, 0)",-0.38014289743906493
"(1, 200, 1)",-0.38123185802679016
"(1, 300, 0)",-0.38014289743906493
"(1, 300, 1)",-0.38123185802679016
"(1, 400, 0)",-0.38014289743906493
"(1, 400, 1)",-0.38123185802679016
"(1, 500, 0)",-0.38014289743906493
"(1, 500, 1)",-0.38123185802679016
"(2, -500, 0)",-0.5620789563404757
"(2, -500, 1)",-0.5638232838885254
"(2, -400, 0)",-0.5620789563404757
"(2, -400, 1)",-0.5638232838885254
"(2, -300, 0)",-0.5620789563404757
"(2, -300, 1)",-0.5638232838885254
"(2, -200, 0)",-0.5620789563404757
"(2, -200, 1)",-0.5638232838885254
"(2, -100, 0)",-0.5620789563404757
"(2, -100, 1)",-0.5638232838885254
"(2, -50, 0)",-0.5620789563404757
"(2, -50, 1)",-0.5638232838885254
"(2, 0, 0)",-0.5620789563404757
"(2, 0, 1)",-0.5638232838885254
"(2, 50, 0)",-0.5620789563404757
"(2, 50, 1)",-0.5638232838885254
"(2, 100, 0)",-0.5620789563404757
"(2, 100, 1)",-0.5638232838885254
"(2, 200, 0)",-0.5620789563404757
"(2, 200, 1)",-0.5638232838885254
"(2, 300, 0)",-0.5620789563404757
"(2, 300, 1)",-0.5638232838885254
"(2, 400, 0)",-0.5620789563404757
"(2, 400, 1)",-0.5638232838885254
"(2, 500, 0)",-0.5620789563404757
"(2, 500, 1)",-0.5638232838885254
